# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
fu za du 	複雜度	c=1 d=7.71214e-121 t=125272
fu za xing 	複雜性	c=1 d=2.35652e-202 t=125272
fu ze 	負責	c=5 d=0.677057 t=125272
fu ze ren 	負責人	c=1 d=6.08042e-89 t=125272
fu zhi 	複製	c=9 d=1.1562e-31 t=125272
fu zhi 	賦值	c=1 d=2.41002e-172 t=125272
fu zhou 	福州	c=41 d=1.10307e-07 t=125272
fu zhu 	輔助	c=2 d=1.43133e-13 t=125272
fu zhuang 	服裝	c=1 d=1.15834e-229 t=125272
fu zui 	負罪	c=0 d=4.14699e-29 t=125272
fu zui gan 	負罪幹	c=1 d=4.16778e-28 t=125272
ga 	嘎	c=1 d=4.57693e-159 t=125272
ga 	噶	c=6 d=1.28986e-112 t=125272
ga la 	旮旯	c=1 d=8.62622e-174 t=125272
gai 	改	c=77 d=0.148804 t=125272
gai 	蓋	c=2 d=5.73394e-134 t=125272
gai 	該	c=40 d=0.0658754 t=125272
gai ban 	改版	c=4 d=0.00425356 t=125272
gai bi a ni 	改比啊你	c=1 d=9.05983e-104 t=125272
gai bian 	改變	c=7 d=1.22223e-08 t=125272
gai cheng 	改成	c=9 d=0.0068106 t=125272
gai ci 	蓋茨	c=1 d=2.4734e-242 t=125272
gai cuo 	改錯	c=1 d=1.99673e-194 t=125272
gai diao 	改掉	c=1 d=1.22565e-129 t=125272
gai gai 	改改	c=2 d=7.47961e-55 t=125272
gai guo 	改過	c=1 d=1.93664e-70 t=125272
gai hao 	改好	c=4 d=3.49134e-209 t=125272
gai hui lai 	改回來	c=1 d=1 t=125050
gai lv 	概率	c=2 d=3.51151e-209 t=125272
gai nian 	概念	c=5 d=3.40706e-10 t=125272
gai qian 	改簽	c=2 d=4.07761e-06 t=125272
gai si 	該死	c=1 d=4.90562e-122 t=125272
gai tian 	改天	c=12 d=2.65405e-05 t=125272
gai wan 	改完	c=3 d=3.23615e-244 t=125272
gai wei 	改爲	c=10 d=0.0507928 t=125272
gai xie 	改寫	c=1 d=3.44709e-206 t=125272
gai you 	該有	c=1 d=1.56911e-06 t=125272
gan 	幹	c=85 d=0.0569766 t=125272
gan 	感	c=2 d=4.18867e-28 t=125272
gan 	敢	c=13 d=6.8219e-31 t=125272
gan 	肝	c=1 d=1.28439e-209 t=125272
gan 	趕	c=7 d=1.3816e-29 t=125272
gan chai 	乾柴	c=0 d=1.1866e-102 t=125272
gan chai lie shuo 	乾柴列說	c=1 d=1.19255e-101 t=125272
gan cui 	乾脆	c=1 d=1 t=124240
gan dong 	感動	c=5 d=5.98213e-15 t=125272
gan ga 	尷尬	c=2 d=6.57524e-157 t=125272
gan gan 	乾乾	c=1 d=1.87151e-138 t=125272
gan ge 	干戈	c=1 d=8.12077e-52 t=125272
gan guo 	幹過	c=1 d=2.67257e-212 t=125272
gan huo 	幹活	c=5 d=1.35742e-89 t=125272
gan huo 	趕活	c=1 d=0.0117959 t=125272
gan ji 	趕集	c=6 d=1.5851 t=125272
gan ji wang 	趕集網	c=2 d=6.0497e-147 t=125272
gan jin 	趕緊	c=33 d=0.0179409 t=125272
gan jing 	乾淨	c=9 d=0.00421123 t=125272
gan jue 	感覺	c=96 d=0.00841948 t=125272
gan kai 	感慨	c=1 d=2.81657e-153 t=125272
gan kuai 	趕快	c=5 d=1.87819e-33 t=125272
gan ma 	幹嗎	c=3 d=2.72199e-233 t=125272
gan ma 	幹嘛	c=45 d=0.0107589 t=125272
gan man 	幹滿	c=1 d=1.05253e-161 t=125272
gan mao 	感冒	c=19 d=1.64644e-13 t=125272
gan nv er 	乾女兒	c=0 d=2.43998e-230 t=125272
gan qi 	幹起	c=1 d=1.33957e-57 t=125272
gan qin 	乾親	c=2 d=7.32307e-159 t=125272
gan qing 	感情	c=6 d=3.10578e-09 t=125272
gan qing pai 	感情牌	c=1 d=3.80225e-242 t=125272
gan sha 	幹啥	c=1 d=6.31074e-144 t=125272
gan shang 	趕上	c=3 d=5.22082e-23 t=125272
gan shen me 	幹什麼	c=1 d=2.45855e-230 t=125272
gan shou 	感受	c=14 d=0.755784 t=125272
gan su 	甘肅	c=4 d=8.60213e-53 t=125272
gan tan 	感嘆	c=1 d=9.00631e-05 t=125272
gan tian 	甘甜	c=1 d=5.13386e-157 t=125272
gan wan 	幹完	c=2 d=3.25242e-228 t=125272
gan xiang 	感想	c=6 d=1.25974e-60 t=125272
gan xie 	感謝	c=4 d=2.12646e-23 t=125272
gan xing qu 	感興趣	c=4 d=3.5588e-52 t=125272
gan yi 	幹一	c=0 d=1.81448e-216 t=125272
gan yi piao 	幹一票	c=1 d=1.82357e-215 t=125272
gan zai 	趕在	c=1 d=1.15404e-09 t=125272
gan zhe 	趕着	c=3 d=2.11406e-57 t=125272
gang 	剛	c=49 d=0.173686 t=125272
gang 	崗	c=1 d=1.77714e-147 t=125272
gang 	鋼	c=3 d=2.26312e-12 t=125272
gang ai 	剛哎	c=1 d=1.13799e-197 t=125272
gang ao 	港澳	c=1 d=2.18216e-180 t=125272
gang ba 	崗巴	c=1 d=1.40634e-41 t=125272
gang ban 	港版	c=1 d=3.60154e-16 t=125272
gang bi 	鋼筆	c=1 d=3.95752e-66 t=125272
gang cai 	剛纔	c=35 d=0.516934 t=125272
gang ci 	剛賜	c=2 d=5.09611e-129 t=125272
gang ci a 	剛賜啊	c=1 d=2.04796e-198 t=125272
gang gang 	剛剛	c=3 d=2.87634e-71 t=125272
gang gang 	槓槓	c=1 d=1.48353e-52 t=125272
gang gao 	剛高	c=2 d=7.36049e-72 t=125272
gang hang 	港行	c=4 d=3.51319e-10 t=125272
gang ma 	剛嗎	c=1 d=0.00190171 t=125272
gang mu 	岡木	c=1 d=1.7455e-24 t=125272
gang qin 	鋼琴	c=17 d=0.00775777 t=125272
gang qin jia 	鋼琴家	c=1 d=0.0071546 t=125272
gang qin pu 	剛琴譜	c=1 d=6.75314e-147 t=125272
gang qin pu 	鋼琴譜	c=2 d=1.55522e-73 t=125272
gang qu 	剛去	c=1 d=1.44936e-72 t=125272
gang qu 	港區	c=1 d=1.44213e-72 t=125272
gang ren shi 	剛認識	c=1 d=9.42765e-131 t=125272
gang tie 	鋼鐵	c=1 d=1.78338e-100 t=125272
gang xu 	剛需	c=1 d=0.621885 t=125272
gang zai 	剛在	c=1 d=3.05449e-254 t=125272
gao 	搞	c=30 d=0.7059 t=125272
gao 	稿	c=1 d=1.39749e-23 t=125272
gao 	高	c=81 d=0.0269169 t=125272
gao bai 	告白	c=1 d=2.28764e-59 t=125272
gao bie 	告別	c=3 d=2.27622e-59 t=125272
gao bu dong 	搞不懂	c=1 d=1.14785e-34 t=125272
gao cai 	高才	c=1 d=2.09152e-34 t=125272
gao chao 	高潮	c=5 d=1.40815e-68 t=125272
gao cheng 	告成	c=1 d=2.10445e-77 t=125272
gao chu 	高出	c=1 d=2.22509e-27 t=125272
gao cuo 	搞錯	c=3 d=2.27282e-12 t=125272
gao dang 	高檔	c=1 d=6.68302e-230 t=125272
gao dian 	高點	c=1 d=9.33068e-127 t=125272
gao diao 	高調	c=1 d=1.89832e-217 t=125272
gao ding 	搞定	c=28 d=0.103382 t=125272
gao ding kan 	搞定看	c=1 d=0.852144 t=125272
gao du 	高度	c=2 d=4.04873e-40 t=125272
gao duan 	高端	c=2 d=1.16573 t=125272
gao fen 	高分	c=0 d=0.1 t=124170
gao fen wang 	高分忘	c=2 d=1.96561 t=124178
gao guo 	高過	c=1 d=4.39654e-39 t=125272
gao ji 	高級	c=7 d=0.000578553 t=125272
gao ji huo 	高級貨	c=1 d=1.0386e-210 t=125272
gao ji ruan wo 	高級軟臥	c=1 d=3.81051e-150 t=125272
gao jiu 	高就	c=1 d=4.7498e-154 t=125272
gao kuai che 	高快車	c=1 d=7.0724e-161 t=125272
gao lao 	告老	c=0 d=1.3512e-189 t=125272
gao lao shi 	告老是	c=3 d=4.6362e-152 t=125272
gao lao shi 	高老師	c=8 d=2.38872e-138 t=125272
gao li 	高麗	c=0 d=1.71172e-236 t=125272
gao li run 	高麗潤	c=1 d=1.72029e-235 t=125272
gao liang 	高亮	c=2 d=2.05111e-216 t=125272
gao lou 	高樓	c=1 d=4.43897e-240 t=125272
gao pei 	高配	c=2 d=1.19985e-11 t=125272
gao pei ban 	高配版	c=2 d=8.81691e-45 t=125272
gao pin 	高頻	c=1 d=1.49795e-195 t=125272
gao qin 	高親	c=1 d=3.59067e-98 t=125272
gao qing 	高清	c=6 d=0.0280154 t=125272
gao qing ban 	高清班	c=1 d=4.04848e-98 t=125272
gao qing ban 	高清辦	c=2 d=2.44202e-92 t=125272
gao san 	高三	c=3 d=7.44025e-44 t=125272
gao shan 	高山	c=2 d=2.68657e-09 t=125272
gao shao 	高燒	c=2 d=4.93983e-33 t=125272
gao shen 	高深	c=1 d=1.49341e-130 t=125272
gao shou 	高手	c=1 d=1.12904e-163 t=125272
gao shua 	高刷	c=1 d=2.84953e-231 t=125272
gao shuai 	高帥	c=2 d=7.46108e-114 t=125272
gao shuai fu 	高帥富	c=12 d=6.23813e-08 t=125272
gao shuai fu 	高帥福	c=1 d=2.8926e-231 t=125272
gao shui fu 	高說服	c=1 d=7.9855e-119 t=125272
gao su 	告訴	c=45 d=0.775933 t=125272
gao su 	高速	c=1 d=3.74079e-168 t=125272
gao su ta 	告訴她	c=1 d=4.83886e-196 t=125272
gao tie 	高鐵	c=8 d=1.80178e-06 t=125272
gao tou 	搞透	c=1 d=0.0300468 t=125272
gao tou 	搞頭	c=1 d=4.39626e-97 t=125272
gao wan 	搞完	c=1 d=1 t=124662
gao xiao 	搞笑	c=5 d=4.24938e-109 t=125272
gao xing 	高興	c=3 d=3.40673e-97 t=125272
gao xue 	膏血	c=1 d=3.30045e-224 t=125272
gao yi 	高一	c=1 d=7.85462e-248 t=125272
gao yin 	高音	c=2 d=1.88588e-76 t=125272
gao yu 	高於	c=1 d=3.88469e-24 t=125272
gao yuan 	高原	c=6 d=1.74712e-124 t=125272
gao yuan shang 	高原上	c=1 d=1.75587e-123 t=125272
gao zhi 	高職	c=2 d=9.44054e-227 t=125272
gao zhong 	高中	c=22 d=0.0116165 t=125272
gao zhong sheng 	高中生	c=2 d=2.56704e-168 t=125272
gao zi 	稿子	c=1 d=1.30925e-23 t=125272
gao zong 	高宗	c=1 d=3.14374e-93 t=125272
ge 	個	c=951 d=2.06201 t=125272
ge 	各	c=7 d=3.88883e-226 t=125272
ge 	哥	c=41 d=0.506617 t=125272
ge 	格	c=1 d=3.24632e-59 t=125272
ge 	歌	c=10 d=0.00194013 t=125272
ge ba 	個把	c=1 d=2.1006e-173 t=125272
ge ba yue 	個把月	c=1 d=2.7112e-175 t=125272
ge bi 	戈壁	c=2 d=1.26105e-162 t=125272
ge bi 	隔壁	c=6 d=1.80033e-123 t=125272
ge bi tan 	戈壁灘	c=1 d=1.81842e-123 t=125272
ge bie 	個別	c=1 d=2.25022e-159 t=125272
ge bie ren 	個別人	c=1 d=6.42968e-99 t=125272
ge bo 	胳膊	c=1 d=0.00033379 t=125272
ge chang 	歌唱	c=1 d=1.80351e-85 t=125272
ge chang jia 	歌唱家	c=1 d=1.11162e-39 t=125272
ge ci 	歌詞	c=1 d=1.62302e-21 t=125272
ge da 	疙瘩	c=1 d=3.73443e-148 t=125272
ge di 	各地	c=1 d=4.33232e-248 t=125272
ge duan 	隔斷	c=0 d=1.49891e-233 t=125272
ge duan jian 	隔斷間	c=1 d=1.50643e-232 t=125272
ge er mu 	格爾木	c=1 d=6.20476e-180 t=125272
ge ge 	各個	c=8 d=0.860708 t=125272
ge ge 	哥哥	c=3 d=3.35166e-23 t=125272
ge ju 	格局	c=2 d=0.2334 t=125272
ge ju 	歌劇	c=3 d=2.74368e-76 t=125272
ge kai 	隔開	c=2 d=5.55065e-46 t=125272
ge la 	格拉	c=0 d=1.95035e-242 t=125272
ge liu cheng 	個流程	c=1 d=1.46823e-224 t=125272
ge men 	哥們	c=6 d=4.60507e-94 t=125272
ge ming 	歌名	c=1 d=4.48002e-25 t=125272
ge ming 	革命	c=1 d=5.08489e-250 t=125272
ge re 	隔熱	c=0 d=8.15982e-80 t=125272
ge re ni 	隔熱你	c=1 d=8.20072e-79 t=125272
ge ren 	個人	c=25 d=0.639114 t=125272
ge ren xing 	個人性	c=1 d=4.21185e-181 t=125272
ge se 	各色	c=1 d=1.3187e-225 t=125272
ge shi 	格式	c=26 d=0.00327971 t=125272
ge shi hua 	格式化	c=1 d=3.70972e-70 t=125272
ge shou 	歌手	c=3 d=8.9715e-77 t=125272
ge shui 	個稅	c=4 d=2.4595e-94 t=125272
ge wei 	各位	c=10 d=3.83154e-09 t=125272
ge xing 	個性	c=1 d=6.13198e-247 t=125272
ge yi 	各異	c=1 d=0.0271874 t=125272
ge yong 	歌詠	c=0 d=4.68213e-192 t=125272
ge you 	各有	c=1 d=9.46463e-177 t=125272
ge yue 	個月	c=2 d=7.33423e-30 t=125272
ge zhong 	各種	c=17 d=0.353455 t=125272
ge zhong fu se 	各種膚色	c=1 d=1.22467e-237 t=125272
ge zi 	各自	c=0 d=2.38562e-24 t=125272
gei 	給	c=667 d=3.50283 t=125272
gei chu 	給出	c=1 d=1.43915e-77 t=125272
gei da jia 	給大家	c=1 d=9.52039e-11 t=125272
gei dian 	給點	c=1 d=3.32899e-237 t=125272
gei li 	給力	c=1 d=6.29613e-58 t=125272
gei ni 	給你	c=7 d=1.41757e-17 t=125272
gei ni geng xin 	給你更新	c=1 d=1.27113e-234 t=125272
gei wo 	給我	c=1 d=0.00124951 t=125272
gei yuan shen 	給元神	c=1 d=3.60257e-225 t=125272
gen 	根	c=1 d=7.27486e-52 t=125272
gen 	跟	c=258 d=1.93401 t=125272
gen ben 	根本	c=2 d=2.85319e-11 t=125272
gen gai 	跟改	c=1 d=1.87583e-77 t=125272
gen ju 	根據	c=14 d=0.000853658 t=125272
gen ni 	跟你	c=2 d=4.01284e-141 t=125272
gen qian 	跟前	c=1 d=4.99839e-19 t=125272
gen ren 	跟人	c=1 d=9.28059e-05 t=125272
gen shang 	跟上	c=1 d=6.83679e-86 t=125272
gen tuan 	跟團	c=10 d=1.35654e-58 t=125272
gen wo 	跟我	c=1 d=2.66945e-22 t=125272
gen xi 	根系	c=2 d=1.59853e-48 t=125272
gen zhe 	跟着	c=3 d=1.59778e-160 t=125272
geng 	更	c=72 d=0.0743897 t=125272
geng bang 	更棒	c=1 d=1.81612e-20 t=125272
geng can 	更慘	c=1 d=3.89938e-39 t=125272
geng cuo 	更錯	c=1 d=0.980199 t=125272
geng da 	更大	c=4 d=2.37831e-16 t=125272
geng duo 	更多	c=11 d=1.12222e-33 t=125272
geng gai 	更改	c=4 d=3.91893e-39 t=125272
geng gao 	更高	c=2 d=3.93857e-39 t=125272
geng guo 	更過	c=1 d=1.02063e-240 t=125272
geng hao 	更好	c=4 d=1.32084e-10 t=125272
geng hao kan 	更好看	c=1 d=2.00456e-240 t=125272
geng hao yong 	更好用	c=1 d=1.32746e-09 t=125272
geng he li 	更合理	c=1 d=1.84696e-71 t=125272
geng huan 	更換	c=3 d=1.06949e-55 t=125272
geng jia 	更加	c=2 d=1.09858e-106 t=125272
geng kuai 	更快	c=1 d=7.23471e-222 t=125272
geng lan 	更藍	c=4 d=5.75211e-20 t=125272
geng neng 	更能	c=1 d=1.01606e-246 t=125272
geng piao liang 	更漂亮	c=1 d=1.17348e-176 t=125272
geng shao 	更少	c=2 d=0.000220415 t=125272
geng xiao 	更小	c=2 d=1.92485e-243 t=125272
geng xin 	更新	c=79 d=0.348008 t=125272
geng xin bao bei 	更新報備	c=1 d=6.23653e-240 t=125272
geng xin guo 	更新過	c=1 d=1.72951e-239 t=125272
gong 	供	c=2 d=2.46034e-228 t=125272
gong 	公	c=1 d=6.64419e-44 t=125272
gong 	共	c=43 d=2.20768e-13 t=125272
gong 	功	c=0 d=1.06398e-201 t=125272
gong 	工	c=3 d=0.188247 t=125272
gong an ju 	公安局	c=0 d=3.7589e-167 t=125272
gong an ju wo 	公安局我	c=1 d=3.77774e-166 t=125272
gong bu 	公佈	c=1 d=1.55578e-82 t=125272
gong ce 	公測	c=1 d=2.41305e-128 t=125272
gong chang 	工廠	c=2 d=8.7382e-17 t=125272
gong cheng 	工程	c=6 d=1.51144e-36 t=125272
gong cheng 	攻城	c=0 d=6.83119e-48 t=125272
gong cheng shi 	工程師	c=11 d=9.85687e-96 t=125272
gong cheng shi 	攻城濕	c=1 d=6.86543e-47 t=125272
gong di 	工地	c=1 d=2.26596e-94 t=125272
gong gong 	公共	c=6 d=2.4267e-18 t=125272
gong gong zi yuan 	公共資源	c=3 d=5.68324e-235 t=125272
gong guo 	公國	c=1 d=1.61658e-180 t=125272
gong hang 	工行	c=2 d=3.10473e-05 t=125272
gong hang ka 	工行卡	c=2 d=0.0629761 t=125272
gong hao 	工號	c=2 d=7.65697e-66 t=125272
gong ji 	攻擊	c=0 d=3.25596e-183 t=125272
gong ji ji 	攻擊機	c=2 d=2.00624e-103 t=125272
gong ji jin 	公積金	c=32 d=0.0944202 t=125272
gong ji jing 	攻擊經	c=1 d=3.27228e-182 t=125272
gong jiao 	公交	c=2 d=5.77563e-131 t=125272
gong jiao che 	公交車	c=1 d=5.94305e-173 t=125272
gong jin ji 	共緊急	c=1 d=3.81871e-234 t=125272
gong ju 	工具	c=20 d=0.0361466 t=125272
gong ke 	功課	c=1 d=8.49482e-23 t=125272
gong ke 	工科	c=1 d=8.45246e-23 t=125272
gong ke nan 	共柯南	c=1 d=5.82418e-200 t=125272
gong ke nan 	工科男	c=1 d=5.85338e-200 t=125272
gong kong 	工控	c=1 d=1.36674e-146 t=125272
gong lao 	功勞	c=1 d=8.6933e-30 t=125272
gong li 	公里	c=3 d=4.76565e-105 t=125272
gong liu 	鞏留	c=1 d=2.26167e-248 t=125272
gong lve 	攻略	c=12 d=4.97734e-79 t=125272
gong min 	公民	c=1 d=7.28454e-97 t=125272
gong neng 	功能	c=43 d=0.0112049 t=125272
gong neng cheng 	功能成	c=1 d=1.16418e-200 t=125272
gong neng gen ju 	功能根據	c=1 d=1 t=123932
gong nuan 	供暖	c=1 d=4.20356e-119 t=125272
gong o 	共哦	c=1 d=1.80424e-31 t=125272
gong ping 	公平	c=3 d=1.68049e-48 t=125272
gong qi 	工期	c=1 d=4.78756e-12 t=125272
gong qi jun 	宮崎駿	c=2 d=2.57849e-84 t=125272
gong ren 	工人	c=3 d=1.69276e-16 t=125272
gong shi 	共識	c=1 d=5.73418e-252 t=125272
gong shi 	工時	c=1 d=0.631284 t=125272
gong shi cheng 	共時稱	c=1 d=2.52337e-242 t=125272
gong si 	公司	c=163 d=0.0655495 t=125272
gong si mei 	公司沒	c=1 d=4.6058e-86 t=125272
gong suo 	宮縮	c=1 d=1.19523e-98 t=125272
gong wai yun 	宮外孕	c=1 d=4.6168e-114 t=125272
gong xi 	恭喜	c=25 d=1.89088e-24 t=125272
gong xian 	貢獻	c=3 d=6.12398e-26 t=125272
gong xiang 	共享	c=4 d=4.97161e-44 t=125272
gong yi shi ye 	公益事業	c=1 d=2.47912e-181 t=125272
gong yong 	公用	c=2 d=4.71548e-10 t=125272
gong yong 	共用	c=5 d=2.22712e-43 t=125272
gong yu 	公寓	c=7 d=7.79199e-07 t=125272
gong yuan 	公元	c=1 d=2.29246e-25 t=125272
gong yuan 	公園	c=0 d=5.67555e-191 t=125272
gong yue 	公約	c=1 d=4.92769e-116 t=125272
gong zai 	公仔	c=1 d=3.20158e-131 t=125272
gong zhen 	共振	c=1 d=6.64829e-110 t=125272
gong zhong 	公衆	c=5 d=0.865022 t=125272
gong zhong zhang hao 	公衆帳號	c=1 d=9.72926e-31 t=125272
gong zhu 	公主	c=4 d=3.95226e-21 t=125272
gong zhu shen zi 	公主身子	c=1 d=1.64095e-62 t=125272
gong zi 	工資	c=37 d=0.000497955 t=125272
gong zi ji 	共自己	c=1 d=5.49471e-162 t=125272
gong zuo 	工作	c=178 d=0.10868 t=125272
gong zuo liu 	工作流	c=4 d=3.55699e-46 t=125272
gong zuo ri 	工作日	c=5 d=1.76155e-14 t=125272
gong zuo shi 	工作室	c=2 d=8.98128e-117 t=125272
gou 	勾	c=1 d=2.97733e-159 t=125272
gou 	夠	c=48 d=1.82305e-06 t=125272
gou 	溝	c=2 d=9.23379e-173 t=125272
gou 	狗	c=3 d=0.00035475 t=125272
gou 	購	c=1 d=2.14512e-87 t=125272
gou cheng 	構成	c=1 d=9.12134e-66 t=125272
gou er 	鉤兒	c=1 d=2.96248e-159 t=125272
gou gou 	勾勾	c=2 d=8.8192e-169 t=125272
gou gou 	狗狗	c=2 d=1.11955e-05 t=125272
gou ji 	購機	c=1 d=3.3918e-16 t=125272
gou jian 	構建	c=1 d=1.48808e-88 t=125272
gou li 	溝裏	c=0 d=1.23705e-180 t=125272
gou li wa 	溝裏娃	c=1 d=1.24325e-179 t=125272
gou mai 	購買	c=33 d=0.00261043 t=125272
gou pi 	狗屁	c=1 d=4.28278e-201 t=125272
gou qian 	夠錢	c=1 d=1.7089e-10 t=125272
gou qiang 	夠嗆	c=1 d=3.8312e-243 t=125272
gou si 	構思	c=3 d=7.55092e-49 t=125272
gou tong 	溝通	c=5 d=7.51533e-111 t=125272
gou tou 	狗頭	c=2 d=1.49889e-171 t=125272
gou wu 	購物	c=9 d=1.35847e-16 t=125272
gou xiang 	構想	c=1 d=6.13303e-249 t=125272
gou xuan 	勾選	c=1 d=6.16377e-249 t=125272
gou xue 	狗血	c=0 d=3.76979e-201 t=125272
gou xue shi 	狗血是	c=1 d=3.78868e-200 t=125272
gou yin 	勾引	c=7 d=1.55901e-77 t=125272
gou yong 	夠用	c=8 d=0.024234 t=125272
gou zao 	構造	c=2 d=4.94551e-112 t=125272
gou zhu 	夠住	c=1 d=2.72857e-15 t=125272
gou zi 	鉤子	c=1 d=2.20567e-159 t=125272
gu 	估	c=3 d=5.86058e-25 t=125272
gu 	古	c=0 d=5.63376e-16 t=125272
gu 	股	c=1 d=6.23011e-82 t=125272
gu 	顧	c=2 d=1.73054e-11 t=125272
gu 	鼓	c=1 d=4.13276e-17 t=125272
gu che 	僱車	c=1 d=2.55826e-139 t=125272
gu cheng 	古城	c=7 d=4.55313e-30 t=125272
gu dan 	孤單	c=2 d=7.79206e-154 t=125272
gu ding 	固定	c=9 d=0.548812 t=125272
gu du 	孤獨	c=2 d=1.53137e-43 t=125272
gu e 	姑惡	c=0 d=2.80186e-210 t=125272
gu fen 	股份	c=3 d=3.30374e-241 t=125272
gu fu 	辜負	c=1 d=2.81025e-156 t=125272
gu gan 	骨幹	c=0 d=1.49973e-210 t=125272
gu ge 	谷歌	c=8 d=7.47094e-12 t=125272
gu gu 	姑姑	c=4 d=2.49203e-07 t=125272
gu ji 	估計	c=128 d=0.0382923 t=125272
gu jia 	股價	c=4 d=7.40782e-96 t=125272
gu ke 	顧客	c=0 d=1.41781e-20 t=125272
gu ke ye 	古柯葉	c=1 d=1.49372e-250 t=125272
gu lang yu 	鼓浪嶼	c=2 d=7.76104e-19 t=125272
gu liang 	估量	c=1 d=3.17753e-248 t=125272
gu ling ling 	孤零零	c=1 d=6.6994e-200 t=125272
gu lou 	鼓樓	c=1 d=5.48794e-30 t=125272
gu niang 	姑娘	c=11 d=3.30468e-05 t=125272
gu niang men 	姑娘們	c=1 d=1 t=123670
gu qi 	鼓起	c=1 d=9.47775e-17 t=125272
gu qi lai 	鼓起來	c=2 d=1.27993e-16 t=125272
gu quan 	股權	c=1 d=2.15582e-96 t=125272
gu ren 	古人	c=1 d=1.38758e-177 t=125272
gu san zuo 	古三座	c=1 d=5.662e-15 t=125272
gu shi 	故事	c=4 d=3.35789e-06 t=125272
gu wen 	顧問	c=1 d=4.60977e-243 t=125272
gu xi la 	古希臘	c=2 d=5.88995e-25 t=125272
gu yi 	故意	c=1 d=5.27618e-67 t=125272
gu zhi 	估值	c=1 d=5.21357e-103 t=125272
gu zhi 	股指	c=1 d=5.18757e-103 t=125272
gua 	掛	c=8 d=1.94747e-18 t=125272
gua ni 	掛你	c=1 d=3.2765e-109 t=125272
gua nian 	掛念	c=1 d=5.93332e-95 t=125272
gua shi 	掛失	c=3 d=0.000855071 t=125272
gua tian 	瓜田	c=1 d=3.11968e-179 t=125272
guai 	乖	c=13 d=7.69585e-08 t=125272
guai 	怪	c=3 d=5.38019e-32 t=125272
guai guai 	乖乖	c=1 d=8.58703e-238 t=125272
guan 	慣	c=1 d=8.43385e-144 t=125272
guan 	管	c=25 d=2.44933e-30 t=125272
guan 	觀	c=1 d=4.13266e-193 t=125272
guan 	關	c=5 d=0.017249 t=125272
guan 	館	c=1 d=1.61624e-60 t=125272
guan ai 	關愛	c=0 d=7.87387e-219 t=125272
guan ai ke neng 	關愛可能	c=1 d=7.91334e-218 t=125272
guan bi 	關閉	c=29 d=0.0198151 t=125272
guan bu 	管不	c=1 d=3.19374e-14 t=125272
guan cha 	觀察	c=2 d=1.47412e-36 t=125272
guan cheng 	關城	c=1 d=4.68903e-193 t=125272
guan cheng lu 	關城路	c=1 d=4.11206e-193 t=125272
guan cong 	灌叢	c=0 d=3.93447e-204 t=125272
guan deng 	關燈	c=1 d=2.7534e-239 t=125272
guan dian 	觀點	c=1 d=3.32747e-26 t=125272
guan diao 	關掉	c=1 d=1 t=124488
guan fang 	官方	c=3 d=2.37002e-181 t=125272
guan huai 	關懷	c=1 d=9.85719e-67 t=125272
guan ji 	關機	c=3 d=1.33073e-127 t=125272
guan ji ai ni 	關機哎你	c=2 d=8.81032e-99 t=125272
guan jian 	關鍵	c=30 d=1.27233e-10 t=125272
guan jian ci 	關鍵詞	c=2 d=4.08955e-11 t=125272
guan jian shi 	關鍵是	c=1 d=1.32071e-96 t=125272
guan jian zi 	關鍵字	c=3 d=2.22812e-43 t=125272
guan jie 	關節	c=1 d=9.89954e-88 t=125272
guan jie yan 	關節炎	c=1 d=8.82411e-88 t=125272
guan jin 	關進	c=1 d=1.75546e-179 t=125272
guan jing 	關經	c=1 d=7.18778e-28 t=125272
guan kan 	觀看	c=4 d=1.54845e-144 t=125272
guan li 	慣例	c=1 d=1.17767e-71 t=125272
guan li 	管理	c=10 d=4.81402e-18 t=125272
guan li yuan 	管理員	c=3 d=1.61185e-28 t=125272
guan lian 	關聯	c=4 d=0.0536786 t=125272
guan men 	關門	c=1 d=4.3648e-42 t=125272
guan shui 	灌水	c=0 d=2.08601e-239 t=125272
guan shui 	關稅	c=2 d=2.07494e-58 t=125272
guan shui qu 	灌水取	c=1 d=2.09647e-238 t=125272
guan wang 	官網	c=1 d=1.21614e-08 t=125272
guan wang 	觀望	c=2 d=2.55668e-189 t=125272
guan xi 	關係	c=21 d=0.218647 t=125272
guan xin 	關心	c=5 d=4.49118e-113 t=125272
guan yu 	關於	c=10 d=2.5396e-53 t=125272
guan zhi 	管制	c=1 d=3.13659e-125 t=125272
guan zhong 	管仲	c=0 d=1.64923e-34 t=125272
guan zhong 	觀衆	c=1 d=5.45482e-47 t=125272
guan zhong bian 	管仲編	c=1 d=1.6575e-33 t=125272
guan zhu 	關注	c=17 d=0.057298 t=125272
guan zhuang 	罐裝	c=1 d=1.30953e-143 t=125272
guang 	光	c=9 d=1.41181e-116 t=125272
guang 	廣	c=1 d=4.4501e-05 t=125272
guang 	逛	c=17 d=1.14562 t=125272
guang biao 	光標	c=3 d=7.21519e-249 t=125272
guang bo 	光波	c=1 d=1.59134e-230 t=125272
guang chang 	廣場	c=1 d=4.99553e-71 t=125272
